utterance_id,timestamp,channel,device_type,region,language,utterance_text,asr_confidence,duration_seconds,intent,split
utt_ng_f97bb113,2026-02-26T18:35:40,whatsapp_voice_note,ios,Lagos,en,I need to know the cost,0.746,8,fees_information,train
utt_ng_c7e084cd,2026-03-02T09:58:40,ivr,ios,Delta,en,How much does it cost?,0.844,7,fees_information,train
utt_ng_d088f93e,2026-02-23T19:06:40,voice_call,ios,Oyo,mixed,Mo fe talk to customer service,0.879,6,speak_to_agent,train
utt_ng_71cfc163,2026-02-17T00:27:40,ivr,ios,Abuja,mixed,Mo fe change date,0.799,3,cancel_or_reschedule_appointment,train
utt_ng_26a3796e,2026-02-13T21:18:40,ivr,android,Lagos,mixed,Se mo eligible fun passport?,0.699,7,service_eligibility,train
utt_ng_89df0303,2026-02-24T07:27:40,ivr,web,Enugu,en,Book me an appointment,0.938,3,appointment_booking,train
utt_ng_cbb265f5,2026-02-27T12:41:40,whatsapp_voice_note,web,Rivers,en,I can't login,0.785,3,reset_password_login_help,train
utt_ng_2a0402b7,2026-03-08T09:42:40,whatsapp_voice_note,android,Ibadan,mixed,Mo need iranlowo lati upload document,0.695,7,document_upload_help,train
utt_ng_94025bc3,2026-03-08T20:20:40,whatsapp_voice_note,feature_phone,Kano,mixed,Upload mi ko work,0.784,8,document_upload_help,train
utt_ng_65436528,2026-02-15T19:15:40,whatsapp_voice_note,android,Oyo,en,How much do I need to pay?,0.704,9,fees_information,train
utt_ng_b1d77af3,2026-02-16T17:15:40,whatsapp_voice_note,android,Rivers,mixed,Mo need to reschedule,0.893,8,cancel_or_reschedule_appointment,train
utt_ng_5c0319e7,2026-03-06T05:55:40,ivr,ios,Kaduna,en,I can't login,0.933,4,reset_password_login_help,train
utt_ng_59d64143,2026-02-13T22:24:40,voice_call,feature_phone,Kano,mixed,Mo fe update details mi,0.681,7,update_application_details,train
utt_ng_a80d0d93,2026-02-24T10:22:40,ivr,feature_phone,Enugu,en,Book appointment for me,0.712,11,appointment_booking,train
utt_ng_95671e54,2026-03-03T18:22:40,ivr,android,Delta,yo,Mo fe wo ipo ti aplikasiyo mi,0.86,4,check_application_status,train
utt_ng_2582f2d6,2026-03-15T08:35:40,voice_call,feature_phone,Rivers,mixed,Mo need iranlowo lati upload document,0.767,11,document_upload_help,train
utt_ng_f924ff04,2026-02-12T20:19:40,voice_call,android,Port Harcourt,mixed,Mo fe change appointment mi,0.774,9,cancel_or_reschedule_appointment,train
utt_ng_d29c1c11,2026-02-22T21:39:40,ivr,ios,Lagos,mixed,Mo fe change information,0.653,8,update_application_details,train
utt_ng_ef51db41,2026-02-12T16:44:40,whatsapp_voice_note,web,Delta,en,What is the cost for driving license?,0.948,5,fees_information,train
utt_ng_b5c5ac20,2026-03-12T04:56:40,whatsapp_voice_note,ios,Kano,en,I need to make an appointment,0.724,12,appointment_booking,train
utt_ng_11ba72a9,2026-02-28T04:37:40,mobile_app_voice,feature_phone,Ibadan,en,Help me reset my password,0.823,9,reset_password_login_help,train
utt_ng_00102dcd,2026-03-07T21:31:40,mobile_app_voice,web,Enugu,mixed,Am I eligible?,0.892,10,service_eligibility,train
utt_ng_fd00f08a,2026-03-12T09:27:40,voice_call,web,Port Harcourt,mixed,Mo fe change information,0.734,5,update_application_details,train
utt_ng_afc98c21,2026-03-07T14:23:40,mobile_app_voice,web,Abuja,yo,Mo fe mọ ipo mi,0.798,7,check_application_status,train
utt_ng_21611583,2026-02-22T12:52:40,voice_call,ios,Port Harcourt,en,I need help with my payment help me,0.916,4,payment_help,train
utt_ng_f7499e6f,2026-02-18T13:04:40,voice_call,ios,Kaduna,yo,Mo fe bẹrẹ aplikasiyo fun ID card,0.873,3,start_new_application,train
utt_ng_1160a564,2026-02-25T14:41:40,voice_call,feature_phone,Oyo,mixed,"Ehen, Mo fe mọ se mo qualify",0.849,7,service_eligibility,train
utt_ng_043d98cd,2026-02-23T01:18:40,voice_call,ios,Ibadan,mixed,Se mo le apply?,0.932,10,service_eligibility,train
utt_ng_073ade8d,2026-02-13T20:20:40,voice_call,web,Rivers,mixed,Mo have problem pẹlu uploading,0.862,7,document_upload_help,train
utt_ng_2d38c4d6,2026-02-25T19:16:40,mobile_app_voice,feature_phone,Lagos,en,I need to make an appointment,0.808,3,appointment_booking,train
utt_ng_fb4afbb5,2026-02-20T23:04:40,voice_call,feature_phone,Rivers,mixed,Mo fe change date,0.919,6,cancel_or_reschedule_appointment,train
utt_ng_2f13b70a,2026-02-23T16:23:40,ivr,web,Rivers,mixed,Bawo ni mo se le upload document?,0.945,7,document_upload_help,train
utt_ng_6b13ea20,2026-03-14T23:22:40,voice_call,web,Delta,mixed,Mo want to speak to agent,0.897,6,speak_to_agent,train
utt_ng_0ac67fbf,2026-02-20T08:37:40,whatsapp_voice_note,android,Kano,mixed,Mo want to report,0.943,4,complaint_or_support_ticket,train
utt_ng_f5a3b3fb,2026-03-07T15:57:40,ivr,ios,Kaduna,yo,Mo fe mọ awọn requirements,0.862,3,requirements_information,train
utt_ng_9a667d74,2026-02-25T05:36:40,whatsapp_voice_note,web,Rivers,en,Let me speak to agent,0.852,7,speak_to_agent,train
utt_ng_972207af,2026-02-25T11:15:40,mobile_app_voice,feature_phone,Kano,yo,Mo fe wo ipo ti aplikasiyo mi,0.856,8,check_application_status,train
utt_ng_8ad31439,2026-03-15T15:50:40,voice_call,android,Rivers,mixed,Mo fe cancel appointment mi,0.82,3,cancel_or_reschedule_appointment,train
utt_ng_85db6f9c,2026-02-16T08:08:40,ivr,feature_phone,Delta,mixed,Mo have issue,0.667,8,complaint_or_support_ticket,train
utt_ng_9efd0f13,2026-03-08T22:35:40,voice_call,web,Port Harcourt,mixed,Mo fe mọ se mo qualify please,0.893,5,service_eligibility,train
utt_ng_a3f7a845,2026-03-09T19:53:40,mobile_app_voice,android,Delta,en,What do I need to pay?,0.769,11,fees_information,train
utt_ng_9e599f0a,2026-02-18T21:59:40,mobile_app_voice,android,Delta,mixed,Mo want to cancel,0.773,10,cancel_or_reschedule_appointment,train
utt_ng_2511b019,2026-02-22T18:54:40,whatsapp_voice_note,android,Kano,yo,Mo need to start application,0.941,4,start_new_application,train
utt_ng_68aab228,2026-03-01T01:22:40,whatsapp_voice_note,feature_phone,Lagos,en,Let me talk to human being,0.68,4,speak_to_agent,train
utt_ng_84d6af89,2026-02-17T07:55:40,ivr,web,Rivers,en,I need to talk to someone,0.737,11,speak_to_agent,train
utt_ng_095b814d,2026-02-15T04:30:40,ivr,ios,Kano,yo,Mo fe mọ awọn requirements,0.754,10,requirements_information,train
utt_ng_16b0234c,2026-02-19T05:44:40,ivr,ios,Port Harcourt,mixed,Se mo can get service?,0.716,12,service_eligibility,train
utt_ng_e04debb9,2026-02-14T13:52:40,ivr,web,Abuja,yo,Mo fe start application tuntun,0.845,8,start_new_application,train
utt_ng_c777932b,2026-02-15T16:23:40,voice_call,ios,Ibadan,yo,Ipo ti mo submit ni kini?,0.946,10,check_application_status,train
utt_ng_514faf54,2026-02-13T01:27:40,mobile_app_voice,android,Lagos,mixed,Mo need to complain,0.773,4,complaint_or_support_ticket,train
utt_ng_0e262568,2026-03-10T21:01:40,ivr,android,Lagos,en,Let me speak to agent,0.847,9,speak_to_agent,train
utt_ng_485b5235,2026-02-19T14:57:40,ivr,feature_phone,Abuja,mixed,Mo fe cancel appointment mi,0.837,10,cancel_or_reschedule_appointment,train
utt_ng_c50da377,2026-03-11T12:52:40,whatsapp_voice_note,ios,Oyo,mixed,Mo want to cancel,0.946,3,cancel_or_reschedule_appointment,train
utt_ng_0ef54b03,2026-02-26T20:10:40,ivr,feature_phone,Port Harcourt,en,Help me reset my password o,0.682,8,reset_password_login_help,train
utt_ng_f75c334d,2026-02-19T05:05:40,whatsapp_voice_note,web,Kaduna,mixed,Mo need to complain,0.816,6,complaint_or_support_ticket,train
utt_ng_9dfc64b4,2026-02-18T04:37:40,mobile_app_voice,web,Delta,mixed,Upload ko work o,0.9,4,document_upload_help,train
utt_ng_a777d0cd,2026-03-13T21:15:40,voice_call,web,Kaduna,mixed,Mo fe speak to person,0.912,5,speak_to_agent,train
utt_ng_7c53e00e,2026-02-27T19:07:40,voice_call,web,Oyo,mixed,Mo fe correct mistake mi,0.864,10,update_application_details,train
utt_ng_64a22b0f,2026-03-12T10:58:40,voice_call,feature_phone,Oyo,en,I forgot my password,0.811,3,reset_password_login_help,train
utt_ng_03a9bf02,2026-02-22T05:42:40,voice_call,ios,Rivers,mixed,Mo need to complain,0.82,7,complaint_or_support_ticket,train
utt_ng_1cfb31fb,2026-02-22T17:46:40,ivr,feature_phone,Delta,mixed,Mo fe correct mistake mi,0.724,12,update_application_details,train
utt_ng_f1dc7cf8,2026-03-09T15:32:40,whatsapp_voice_note,feature_phone,Lagos,mixed,Mo fe change date,0.786,5,cancel_or_reschedule_appointment,train
utt_ng_44b0be8c,2026-02-19T01:15:40,ivr,feature_phone,Rivers,en,I can't login,0.715,5,reset_password_login_help,train
utt_ng_390db75a,2026-03-12T08:44:40,ivr,web,Kaduna,mixed,Mo fe cancel appointment mi,0.727,4,cancel_or_reschedule_appointment,train
utt_ng_c46a18d6,2026-03-01T23:24:40,ivr,ios,Delta,mixed,Mo want to cancel,0.818,5,cancel_or_reschedule_appointment,train
utt_ng_4712d760,2026-02-27T03:39:40,mobile_app_voice,web,Rivers,mixed,Mo want to correct,0.909,8,update_application_details,train
utt_ng_de8547a3,2026-03-03T02:21:40,whatsapp_voice_note,web,Lagos,yo,Bawo ni mo se le apply?,0.852,7,start_new_application,train
utt_ng_7952a3bd,2026-02-23T13:04:40,whatsapp_voice_note,android,Abuja,yo,Se application mi ti ready?,0.783,4,check_application_status,train
utt_ng_6bf31c21,2026-03-05T10:48:40,voice_call,android,Lagos,mixed,Mo fe mọ se mo qualify,0.921,7,service_eligibility,train
utt_ng_2ff09f7c,2026-02-12T17:11:40,mobile_app_voice,web,Rivers,mixed,Mo need to update,0.935,12,update_application_details,train
